ID,DATE,TIME,TIME_OF_DAY,NETWORK,HEADLINE,SENTIMENT_LABEL,SENTIMENT_SCORE,EMOTION_SADNESS,EMOTION_FEAR,EMOTION_ANGER,EMOTION_DISGUST,EMOTION_JOY,PUTIN,TRUMP,TRUDEAU
0,2017-07-20,11:00:00,Morning,RT,Trump to end lavish CIA support for ‘moderate’ anti-Assad forces in Syria – reports                                                                    ,neutral,0.0,0.42641,0.123981,0.200277,0.393306,0.010359,0,1,0
1,2017-07-20,11:00:00,Morning,RT,Iraq to buy ‘large batch’ of advanced Russian T-90 tanks – Kremlin                                                                     ,positive,0.730448,0.082644,0.194407,0.054655,0.06623,0.068197,0,0,0
2,2017-07-20,11:00:00,Morning,RT,‘Threat to rule of law’: EU may strip Poland of voting rights over judicial reforms                                                                    ,neutral,0.0,0.140733,0.464259,0.150557,0.415138,0.023603,0,0,0
3,2017-07-20,11:00:00,Morning,RT,Tobacco industry hampers global strategy to stop smoking epidemic – WHO                                                                    ,negative,-0.690492,0.290146,0.289809,0.215808,0.257737,0.033624,0,0,0
4,2017-07-20,11:00:00,Morning,RT,Italy fumes as The Sun brands Naples one of world’s 10 most dangerous cities                                                                    ,negative,-0.532369,0.173374,0.115168,0.620212,0.038473,0.167648,0,0,0
5,2017-07-20,11:00:00,Morning,WT,John McCain diagnosed with brain cancer,negative,-0.743345,0.700574,0.184545,0.058367,0.148083,0.004968,0,0,0
6,2017-07-20,11:00:00,Morning,WT,"Trump Jr., Manafort, Kushner to testify before lawmakers next week",negative,-0.355524,0.02682,0.115682,0.041353,0.096366,0.126898,0,0,0
7,2017-07-20,11:00:00,Morning,WT,"Trump: Sessions should have told me about recusal, ‘I would have picked somebody else’",negative,-0.502006,0.292399,0.13593,0.362904,0.165145,0.059541,0,1,0
8,2017-07-20,11:00:00,Morning,CBC,"Andrew Scheer to name Lisa Raitt deputy leader, announce 'gender diverse' House leadership team Thursday",neutral,0.0,0.050262,0.083626,0.08048,0.080787,0.156196,0,0,0
9,2017-07-20,11:00:00,Morning,CBC,NAFTA talks: Trump administration announces Aug. 16 start date in D.C.,neutral,0.0,0.236808,0.073528,0.102368,0.103356,0.185719,0,1,0
10,2017-07-20,11:00:00,Morning,CBC,"Watch Power & Politics for July 19, 2017",neutral,0.0,0.501142,0.044394,0.112832,0.1756,0.145223,0,0,0
11,2017-07-20,11:00:00,Morning,CBC,Health trouble brought on by mould exposure ends sailor's career,neutral,0.0,0.180829,0.139996,0.181365,0.086777,0.425415,0,0,0
12,2017-07-20,11:00:00,Morning,CBC,Ottawa hires consultants to advise on airport sell-offs,neutral,0.0,0.033459,0.040474,0.111738,0.055638,0.009949,0,0,0
13,2017-07-20,11:00:00,Morning,CBC,"Government inaction to blame for unequal access to criminal pardons, lawyers claim",negative,-0.915273,0.285406,0.04427,0.323019,0.543489,0.001586,0,0,0
14,2017-07-20,11:00:00,Morning,CBC,Buzz kill? Brian Pallister pushes premiers to delay legalization of pot by 1 year,negative,-0.662332,0.603546,0.06455,0.391388,0.123602,0.004173,0,0,0
15,2017-07-20,11:00:00,Morning,CBC,Finance Minister Bill Morneau proposes tax changes to close loopholes for wealthy,neutral,0.0,0.194673,0.06383,0.107971,0.136226,0.088282,0,0,0
16,2017-07-20,11:00:00,Morning,CBC,"Watch Power & Politics for July 18, 2017",positive,0.596036,0.501142,0.044394,0.112832,0.1756,0.145223,0,0,0
17,2017-07-20,11:00:00,Morning,CBC,Measures protecting Canadian dairy industry under fire at U.S. NAFTA hearing,neutral,0.0,0.165238,0.06392,0.128252,0.355582,0.132746,0,0,0
18,2017-07-20,11:00:00,Morning,CBC,Canadian retailers worry as Trump eyes duty-free threshold increase in NAFTA talks,neutral,0.0,0.107254,0.747533,0.078398,0.118187,0.025007,0,1,0
19,2017-07-20,11:00:00,Morning,CBC,"'Reconciliation in action': Quebec Cree leaders sign governance, funding agreement with Ottawa",neutral,0.0,0.100649,0.081265,0.098493,0.223787,0.105118,0,0,0
20,2017-07-20,11:00:00,Morning,CBC,B.C.'s new NDP government sworn into office,negative,-0.515578,0.156932,0.172164,0.304466,0.400937,0.119725,0,0,0
