ID,DATE,TIME,TIME_OF_DAY,NETWORK,HEADLINE,SENTIMENT_LABEL,SENTIMENT_SCORE,EMOTION_SADNESS,EMOTION_FEAR,EMOTION_ANGER,EMOTION_DISGUST,EMOTION_JOY,PUTIN,TRUMP,TRUDEAU
0,2017-07-23,14:00:01,Day,RT,Russia is no longer America's 'single' biggest threat – top US general                                                                    ,negative,-0.631088,0.188977,0.816807,0.042162,0.095883,0.04484,0,0,0
1,2017-07-23,14:00:01,Day,RT,Rocket launched from Gaza Strip – Israeli military                                                                    ,neutral,0.0,0.462785,0.124685,0.069402,0.330528,0.141775,0,0,0
2,2017-07-23,14:00:01,Day,RT,"'We’re bad day away from Russians asking, ‘Why are you still in Syria?’ – top US commander                                                                    ",neutral,0.0,0.519887,0.508724,0.138634,0.121035,0.016951,0,0,0
3,2017-07-23,14:00:01,Day,RT,"EU concerned over US bill on Russia sanctions, warns of ‘unintended consequences’                                                                     ",neutral,0.0,0.146506,0.440041,0.452291,0.096083,0.014697,0,0,0
4,2017-07-23,14:00:01,Day,RT,"'Stop, EU': Giant anti-migrant message ploughed into Italian field (VIDEO)                                                                    ",negative,-0.675366,0.454844,0.041008,0.231415,0.077489,0.318641,0,0,0
5,2017-07-23,14:00:01,Day,WT,New Trump communications director says he’ll delete old tweets to avoid ‘distraction’,negative,-0.620619,0.619836,0.169837,0.234789,0.200632,0.034182,0,1,0
6,2017-07-23,14:00:01,Day,WT,"Sen. Gardner stays cool as pro-Obamacare activists target him with sit-ins, shout-downs",neutral,0.0,0.143639,0.289119,0.254451,0.221453,0.199189,0,0,0
7,2017-07-23,14:00:01,Day,WT,Congress strikes deal to stiffen Russia sanctions; Trump questions boost bill,neutral,0.0,0.108767,0.116927,0.292749,0.253957,0.143244,0,1,0
8,2017-07-23,14:00:01,Day,WT,Trump tweets ‘the U.S. President has the complete power to pardon’,positive,0.436383,0.131341,0.035175,0.143701,0.280548,0.337102,0,1,0
9,2017-07-23,14:00:01,Day,WT,Boss of firm behind anti-Trump dossier to plead the Fifth at congressional hearing,negative,-0.651379,0.135338,0.191962,0.252246,0.275273,0.262374,0,1,0
10,2017-07-23,14:00:01,Day,WT,Senate ref flags key parts of GOP health bill plan,neutral,0.0,0.049776,0.049225,0.10195,0.072737,0.015093,0,0,0
11,2017-07-23,14:00:01,Day,WT,Sarah Huckabee Sanders promoted to White House press secretary,neutral,0.0,0.088791,0.190019,0.136287,0.497048,0.184213,0,0,0
12,2017-07-23,14:00:01,Day,WT,Anthony Scaramucci meets the press; Sarah Huckabee Sanders promoted,neutral,0.0,0.04726,0.090208,0.122957,0.465845,0.307358,0,0,0
13,2017-07-23,14:00:01,Day,WT,AFT’s Randi Weingarten blasts school-choice reforms as ‘polite cousins of segregation’,neutral,0.0,0.151137,0.06077,0.115003,0.090803,0.616011,0,0,0
14,2017-07-23,14:00:01,Day,WT,Trump’s new White House communications chief has voiced support for gun control,neutral,0.0,0.274591,0.390536,0.197685,0.113297,0.190278,0,1,0
15,2017-07-23,14:00:01,Day,WT,"Preet Bharara, ousted federal prosecutor, blasts Trump over Mueller probe reports",neutral,0.0,0.421521,0.029349,0.095337,0.057406,0.182893,0,1,0
16,2017-07-23,14:00:01,Day,WT,VP Pence implores senators to ‘step up’ on health care bill,neutral,0.0,0.056608,0.03141,0.054854,0.073624,0.092852,0,0,0
17,2017-07-23,14:00:01,Day,WT,"Sean Spicer resigns as White House press secretary, calls Scaramucci hire a mistake",negative,-0.315773,0.287068,0.316251,0.399922,0.157411,0.032668,0,0,0
18,2017-07-23,14:00:01,Day,WT,"Trump to order major review of defense industrial base, improved military readiness",neutral,0.0,0.360658,0.154995,0.020043,0.095699,0.082008,0,1,0
19,2017-07-23,14:00:01,Day,WT,Former CBO directors defend agency’s integrity ,neutral,0.0,0.211289,0.043455,0.225408,0.300864,0.128922,0,0,0
20,2017-07-23,14:00:01,Day,CBC,Thousands free to return home as some B.C. wildfire evacuation orders downgraded,negative,-0.6572,0.233083,0.062109,0.104154,0.056573,0.159121,0,0,0
21,2017-07-23,14:00:01,Day,CBC,Illegal border crossings by asylum seekers decline in Manitoba but spike in Quebec,negative,-0.744114,0.193741,0.131668,0.231238,0.155623,0.141579,0,0,0
22,2017-07-23,14:00:01,Day,CBC,"In historic 1st, transgender inmate wins transfer to women's prison",neutral,0.0,0.275068,0.050379,0.171689,0.331787,0.187426,0,0,0
23,2017-07-23,14:00:01,Day,CBC,Many Indigenous families not applying for Canada child benefit: documents,neutral,0.0,0.05856,0.049126,0.019824,0.133929,0.224482,0,0,0
24,2017-07-23,14:00:01,Day,CBC,"Watch Power & Politics for July 21, 2017",positive,0.524067,0.340674,0.064217,0.124518,0.148697,0.198403,0,0,0
25,2017-07-23,14:00:01,Day,CBC,Khadr's war crimes appeal could hinge on bin Laden propagandist's case,negative,-0.927592,0.341089,0.094213,0.225743,0.440834,0.050466,0,0,0
26,2017-07-23,14:00:01,Day,CBC,Scheer says anti-Khadr campaign in U.S. media is fair game as NDP cry hypocrisy,neutral,0.0,0.704247,0.084772,0.113646,0.379756,0.016175,0,0,0
27,2017-07-23,14:00:01,Day,CBC,"Pierre Poilievre's golf shirt a faux pas, elections watchdog rules",positive,0.436391,,,,,,0,0,0
28,2017-07-23,14:00:01,Day,CBC,'These are our children': Sexual abuse and suicide rate among Indigenous youth,negative,-0.60087,0.666159,0.105401,0.157855,0.302244,0.007464,0,0,0
29,2017-07-23,14:00:01,Day,CBC,Judicial watchdog finds no problem with judges attending sponsored cocktail parties,neutral,0.0,0.265863,0.05113,0.163771,0.097352,0.340228,0,0,0
30,2017-07-23,14:00:01,Day,CBC,Trudeau defends his choice for governor general amid revelations about her past,negative,-0.430983,0.29668,0.102646,0.143447,0.288097,0.213951,0,0,1
31,2017-07-23,14:00:01,Day,CBC,"Watch Power & Politics for July 20, 2017",positive,0.537161,0.340674,0.064217,0.124518,0.148697,0.198403,0,0,0
32,2017-07-23,14:00:01,Day,CBC,Progressive Conservatives begin voting on proposed unity merger with Wildrose,neutral,0.0,0.154442,0.167875,0.18708,0.294974,0.274371,0,0,0
33,2017-07-23,14:00:01,Day,CBC,The Pollcast: What the Wildrose-PC merger vote means for Alberta politics,neutral,0.0,0.274745,0.020316,0.231736,0.383589,0.090125,0,0,0
34,2017-07-23,14:00:01,Day,CBC,"Anger makes people more economically conservative, research suggests",negative,-0.544451,0.20598,0.253195,0.361163,0.225286,0.16026,0,0,0
35,2017-07-23,14:00:01,Day,CBC,"Supreme Court building to get $1B rehab in 2023, well after systems risk failure",neutral,0.0,0.362541,0.567314,0.038733,0.057308,0.072105,0,0,0
36,2017-07-24,14:00:01,Day,RT,Brussels to act ‘within days’ if US sanctions hurt EU trade with Russia – internal memo                                                                     ,negative,-0.425777,0.590731,0.312547,0.102061,0.04144,0.109876,0,0,0
37,2017-07-24,14:00:01,Day,RT,China warns India not to ‘push its luck’ amid border stand-off in Himalayas                                                                    ,neutral,0.0,0.184131,0.349348,0.338568,0.110841,0.242774,0,0,0
38,2017-07-24,14:00:01,Day,RT,"British, Turkish warships arrive in Ukraine for NATO Black Sea drills (PHOTOS)                                                                    ",neutral,0.0,0.215761,0.052415,0.137014,0.040321,0.515107,0,0,0
39,2017-07-24,14:00:01,Day,RT,Okinawa files new lawsuit to block relocation of US Marines base – local media                                                                    ,negative,-0.474341,0.382247,0.25678,0.080988,0.179326,0.222953,0,0,0
40,2017-07-24,14:00:01,Day,RT,‘We hear nothing in Western media about devastation of Mosul’: Academic who visited city to RT                                                                      ,negative,-0.749669,0.186341,0.077446,0.050191,0.348857,0.326696,0,0,0
41,2017-07-24,14:00:01,Day,WT,Tim Ryan says he’d like to see both Trump’s and Clinton’s contact with the Russians,positive,0.612266,0.265058,0.357024,0.034664,0.209875,0.217384,0,1,0
42,2017-07-24,14:00:01,Day,WT,Barbara Lee pushes Democrats inclusiveness in new economic plan,negative,-0.570227,0.361987,0.151787,0.22656,0.162887,0.085437,0,0,0
43,2017-07-24,14:00:01,Day,WT,Jared Kushner denies collusion in statement ahead of Capitol Hill testimony,positive,0.677632,0.31435,0.014762,0.238734,0.236682,0.104095,0,0,0
44,2017-07-24,14:00:01,Day,WT,"Trump tweets ‘drain the sewer,’ claims no evidence in Russia case",negative,-0.480431,0.65237,0.107622,0.120622,0.27576,0.039043,0,1,0
45,2017-07-24,14:00:01,Day,WT,Rand Paul: Trump likely has ability to pardon himself,neutral,0.0,0.25579,0.122121,0.051826,0.079756,0.185896,0,1,0
46,2017-07-24,14:00:01,Day,WT,Al Franken wants Attorney General Jeff Sessions to testify again after anonymous report,negative,-0.358745,0.161287,0.107242,0.290101,0.077196,0.150215,0,0,0
47,2017-07-24,14:00:01,Day,WT,Ethanol bill defeated in Senate,negative,-0.372534,0.303073,0.269003,0.234775,0.191104,0.024459,0,0,0
48,2017-07-24,14:00:01,Day,WT,"Chuck Schumer previews Democrats’ new economic plan, party unity",neutral,0.0,0.094395,0.108967,0.057157,0.042138,0.561548,0,0,0
49,2017-07-24,14:00:01,Day,WT,Senate to hold procedural vote on health care,neutral,0.0,0.204243,0.033156,0.186882,0.262109,0.396944,0,0,0
50,2017-07-24,14:00:01,Day,WT,Congress’ bipartisan agreement to take hard line against Russia puts Trump to test on sanctions,neutral,0.0,0.600487,0.133944,0.137812,0.285426,0.016203,0,1,0
51,2017-07-24,14:00:01,Day,WT,Anthony Scaramucci cuts to the chase,neutral,0.0,0.45902,0.124595,0.28164,0.211715,0.093192,0,0,0
52,2017-07-24,14:00:01,Day,WT,Vets balk at Hill proposal to offer ‘choice’ health care,neutral,0.0,0.251076,0.029788,0.015713,0.05324,0.658184,0,0,0
53,2017-07-24,14:00:01,Day,WT,"Jared Kushner: Jewish-American paradox, traditional presidential family adviser",neutral,0.0,0.237747,0.06452,0.046227,0.376418,0.154744,0,0,0
54,2017-07-24,14:00:01,Day,WT,Fact-checkers drawn into heated debate over number of noncitizens who vote illegally,negative,-0.693429,0.148027,0.071996,0.366962,0.347539,0.191261,0,0,0
55,2017-07-24,14:00:01,Day,WT,"Nominee for deputy Interior secretary violated disclosure laws, say green groups",neutral,0.0,0.158246,0.066317,0.189428,0.119603,0.144764,0,0,0
56,2017-07-24,14:00:01,Day,CBC,Intellectual property could be key as Canada and U.S. compete for frigate-building bids,neutral,0.0,0.10138,0.142341,0.085117,0.02946,0.473782,0,0,0
57,2017-07-24,14:00:01,Day,CBC,"Trudeau 'not working hard enough' on NAFTA file, says Scheer",negative,-0.7758,0.734158,0.191301,0.062282,0.03988,0.075634,0,0,1
58,2017-07-24,14:00:01,Day,CBC,Wildrose and PC members approve unite-the-right deal with 95% voting Yes,positive,0.579508,0.145339,0.069293,0.140261,0.06185,0.103479,0,0,0
59,2017-07-24,14:00:01,Day,CBC,Thousands free to return home as some B.C. wildfire evacuation orders downgraded,negative,-0.6572,0.233083,0.062109,0.104154,0.056573,0.159121,0,0,0
60,2017-07-24,14:00:01,Day,CBC,Illegal border crossings by asylum seekers decline in Manitoba but spike in Quebec,negative,-0.744114,0.193741,0.131668,0.231238,0.155623,0.141579,0,0,0
61,2017-07-24,14:00:01,Day,CBC,"In historic 1st, transgender inmate wins transfer to women's prison",neutral,0.0,0.275068,0.050379,0.171689,0.331787,0.187426,0,0,0
62,2017-07-24,14:00:01,Day,CBC,Many Indigenous families not applying for Canada child benefit: documents,neutral,0.0,0.05856,0.049126,0.019824,0.133929,0.224482,0,0,0
63,2017-07-24,14:00:01,Day,CBC,"Watch Power & Politics for July 21, 2017",positive,0.524067,0.340674,0.064217,0.124518,0.148697,0.198403,0,0,0
64,2017-07-24,14:00:01,Day,CBC,Khadr's war crimes appeal could hinge on bin Laden propagandist's case,negative,-0.927592,0.341089,0.094213,0.225743,0.440834,0.050466,0,0,0
65,2017-07-24,14:00:01,Day,CBC,Scheer says anti-Khadr campaign in U.S. media is fair game as NDP cry hypocrisy,neutral,0.0,0.704247,0.084772,0.113646,0.379756,0.016175,0,0,0
66,2017-07-24,14:00:01,Day,CBC,"Pierre Poilievre's golf shirt a faux pas, elections watchdog rules",positive,0.436391,,,,,,0,0,0
67,2017-07-24,14:00:01,Day,CBC,'These are our children': Sexual abuse and suicide rate among Indigenous youth,negative,-0.60087,0.666159,0.105401,0.157855,0.302244,0.007464,0,0,0
68,2017-07-24,14:00:01,Day,CBC,Judicial watchdog finds no problem with judges attending sponsored cocktail parties,neutral,0.0,0.265863,0.05113,0.163771,0.097352,0.340228,0,0,0
69,2017-07-24,14:00:01,Day,CBC,Trudeau defends his choice for governor general amid revelations about her past,negative,-0.430983,0.29668,0.102646,0.143447,0.288097,0.213951,0,0,1
70,2017-07-24,14:00:01,Day,CBC,"Watch Power & Politics for July 20, 2017",positive,0.537161,0.340674,0.064217,0.124518,0.148697,0.198403,0,0,0
71,2017-07-24,14:00:01,Day,CBC,Progressive Conservatives begin voting on proposed unity merger with Wildrose,neutral,0.0,0.154442,0.167875,0.18708,0.294974,0.274371,0,0,0
72,2017-07-25,14:00:00,Day,RT,"Chinese interception of US spy plane ‘legal, necessary & professional’ – Beijing                                                                    ",neutral,0.0,0.124435,0.148186,0.198203,0.09935,0.273997,0,0,0
73,2017-07-25,14:00:00,Day,RT,"London ‘honor killing’ victim ‘raped, murdered & stuffed in freezer for dating Arab Muslim’                                                                    ",negative,-0.408791,0.241841,0.06478,0.287114,0.724616,0.011672,0,0,0
74,2017-07-25,14:00:00,Day,RT,Turks spew vitriol at Eurowings amid reports ‘fearful’ German pilot refused flight to Ankara                                                                    ,negative,-0.442748,0.054271,0.375131,0.092562,0.614266,0.008289,0,0,0
75,2017-07-25,14:00:00,Day,RT,"US mulls sending arms to Kiev, doesn’t view move as 'provocative' – US special envoy to Ukraine                                                                    ",positive,0.468385,0.060964,0.077692,0.024299,0.079034,0.415985,0,0,0
76,2017-07-25,14:00:00,Day,RT,IMF may soon be moving to China – Christine Lagarde                                                                    ,neutral,0.0,0.125806,0.328587,0.109559,0.041138,0.197683,0,0,0
77,2017-07-25,14:00:00,Day,WT,Anthony Scaramucci says Trump likely looking to fire Sessions,positive,0.708949,0.388561,0.303354,0.267933,0.078734,0.097145,0,1,0
78,2017-07-25,14:00:00,Day,WT,Trump bashes Sessions as ‘weak’ on Hillary Clinton’s ‘crimes’ and intel leakers,neutral,0.0,0.42056,0.063611,0.269692,0.328565,0.03862,0,1,0
79,2017-07-25,14:00:00,Day,WT,Trump puts pressure on lawmakers to pass something on health care ,positive,0.782534,0.384917,0.1815,0.067138,0.062565,0.200885,0,1,0
80,2017-07-25,14:00:00,Day,WT,McCain to return to Senate for Tuesday’s health care vote,positive,0.780097,0.126182,0.023075,0.066624,0.274898,0.525489,0,0,0
81,2017-07-25,14:00:00,Day,WT,"Rex Tillerson is committed to staying on as secretary of state, his spokeswoman says",neutral,0.0,0.42987,0.28717,0.135584,0.166536,0.074941,0,0,0
82,2017-07-25,14:00:00,Day,WT,"Kushner exposed Russia probe as ‘witch hunt,’ ‘hoax,’ White House says",neutral,0.0,0.365319,0.130362,0.267361,0.290352,0.112375,0,0,0
83,2017-07-25,14:00:00,Day,WT,Trump speaks to advisers about firing Attorney General Sessions,neutral,0.0,0.213528,0.058533,0.372703,0.125462,0.1813,0,1,0
84,2017-07-25,14:00:00,Day,WT,"Trump takes shots at Republicans, media and Obama at Boy Scout Jamboree",neutral,0.0,0.194982,0.018273,0.219473,0.657807,0.073392,0,1,0
85,2017-07-25,14:00:00,Day,WT,Trump media: 19 talk radio hosts broadcast live from the White House on Tuesday,neutral,0.0,0.1674,0.102487,0.053349,0.157185,0.557309,0,1,0
86,2017-07-25,14:00:00,Day,WT,Dianne Feinstein pushes for Attorney General Sessions to testify on Russian ambassador meetings,neutral,0.0,0.299701,0.38831,0.16706,0.023903,0.18221,0,0,0
87,2017-07-25,14:00:00,Day,WT,Jared Kushner declares in detail why he’s innocent of Russian collusion,positive,0.861059,0.158592,0.372883,0.042284,0.188064,0.119857,0,0,0
88,2017-07-25,14:00:00,Day,WT,"Senate to vote Tuesday on motion to begin debate on Obamacare repeal, replace bill",negative,-0.604675,0.173307,0.15135,0.480467,0.404968,0.074173,0,0,0
89,2017-07-25,14:00:00,Day,WT,Ohio Gov. John Kasich blasts Senate GOP health care strategy,negative,-0.46816,0.326841,0.03366,0.18108,0.259418,0.306732,0,0,0
90,2017-07-25,14:00:00,Day,WT,Sessions has support of law enforcement groups,positive,0.716323,0.087695,0.147499,0.159262,0.099287,0.142021,0,0,0
91,2017-07-25,14:00:00,Day,WT,Thinking big about money,neutral,0.0,0.098294,0.083364,0.171677,0.063357,0.062789,0,0,0
