ID,DATE,TIME,TIME_OF_DAY,NETWORK,HEADLINE,SENTIMENT_LABEL,SENTIMENT_SCORE,EMOTION_SADNESS,EMOTION_FEAR,EMOTION_ANGER,EMOTION_DISGUST,EMOTION_JOY,PUTIN,TRUMP,TRUDEAU
0,2017-07-11,11:00:00,Morning,CBC,Catholic bishops say Trudeau playing politics with abortion in foreign aid,neutral,0.0,0.205497,0.034159,0.032673,0.531062,0.014032,0,0,1
1,2017-07-11,11:00:00,Morning,CBC,'It was the happiest moment': Asylum seekers who took risky Central American corridor cross into Canada,negative,-0.649201,0.099288,0.107516,0.039436,0.035638,0.599312,0,0,0
2,2017-07-11,11:00:00,Morning,CBC,Relatives of slain U.S. soldier want urgent freeze on Omar Khadr's assets,negative,-0.419543,0.283762,0.169862,0.25706,0.121771,0.014452,0,0,0
3,2017-07-11,11:00:00,Morning,CBC,G19 + 1: Division among G20 leaders and what comes next,neutral,0.0,0.207265,0.122516,0.087352,0.113952,0.1854,0,0,0
4,2017-07-11,11:00:00,Morning,CBC,"Parks Canada preparing for busy Canada 150 season, including patrons behaving badly",negative,-0.395837,0.36251,0.147319,0.235188,0.243511,0.034899,0,0,0
5,2017-07-11,11:00:00,Morning,CBC,"After years of missteps, Canadian military officials hope procurement now on track",neutral,0.0,0.106229,0.27531,0.061647,0.517914,0.180405,0,0,0
6,2017-07-11,11:00:00,Morning,CBC,Poll Tracker: Federal poll averages and seat projections,neutral,0.0,0.09698,0.103342,0.067037,0.064531,0.020892,0,0,0
7,2017-07-11,11:00:00,Morning,CBC,"On Khadr, Trudeau says Charter protects all Canadians 'even when it is uncomfortable'",negative,-0.311165,0.297915,0.052198,0.071755,0.541809,0.123047,0,0,1
8,2017-07-11,11:00:00,Morning,CBC,"Amazon Prime does more for northern food security than federal subsidies, say Iqaluit residents",neutral,0.0,0.275872,0.129643,0.072001,0.366348,0.141894,0,0,0
9,2017-07-11,11:00:00,Morning,CBC,"Canada, EU to provisionally apply CETA in September",neutral,0.0,0.292045,0.112958,0.027647,0.017861,0.054082,0,0,0
10,2017-07-11,11:00:00,Morning,CBC,G20 leaders steel themselves for Trump's next trade move,neutral,0.0,0.262031,0.147694,0.178032,0.191246,0.256598,0,1,0
11,2017-07-11,11:00:00,Morning,CBC,"Liberals defend and Tories attack Omar Khadr payout, both citing principles",neutral,0.0,0.091526,0.077817,0.260603,0.776016,0.007655,0,0,0
12,2017-07-11,11:00:00,Morning,CBC,G20 leaders reaffirm support of Paris climate change agreement without U.S.,neutral,0.0,0.178425,0.175091,0.078784,0.209567,0.126822,0,0,0
13,2017-07-11,11:00:00,Morning,CBC,"Sask. sends aircraft, firefighters to help fight B.C. wildfires",neutral,0.0,0.133518,0.138343,0.124503,0.032942,0.061517,0,0,0
14,2017-07-11,11:00:00,Morning,CBC,Canada pledges $20M for women's entrepreneurship program,positive,0.574585,0.112963,0.078782,0.023798,0.139346,0.453671,0,0,0
15,2017-07-11,11:00:00,Morning,CBC,El Salvador woman at the heart of legal challenge to Safe Third Country Agreement,positive,0.460505,0.191086,0.210511,0.020324,0.08814,0.4193,0,0,0
16,2017-07-12,11:00:00,Morning,CBC,Manitoba MMIWG families want national inquiry commissioners replaced,neutral,0.0,0.346292,0.032762,0.117056,0.266701,0.153218,0,0,0
