ID,DATE,TIME,TIME_OF_DAY,NETWORK,HEADLINE,SENTIMENT_LABEL,SENTIMENT_SCORE,EMOTION_SADNESS,EMOTION_FEAR,EMOTION_ANGER,EMOTION_DISGUST,EMOTION_JOY,PUTIN,TRUMP,TRUDEAU
0,2017-07-15,11:00:01,Morning,RT,"‘She bled to death, nobody paid attention’: ISIS wives share chilling stories of life in ‘caliphate’                                                                        ",neutral,0.0,0.142958,0.088965,0.095943,0.436215,0.33741,0,0,0
1,2017-07-15,11:00:01,Morning,RT,‘Mistreatment of anybody is never justified’: HRW to RT on abuse of suspected ISIS fighters in Iraq                                                                     ,negative,-0.868277,0.17188,0.200708,0.371097,0.557458,0.003115,0,0,0
2,2017-07-15,11:00:01,Morning,RT,9/11 families may add UAE to lawsuit against Saudis over role in terrorist attacks                                                                    ,negative,-0.732749,0.150751,0.429006,0.1379,0.129239,0.007392,0,0,0
3,2017-07-15,11:00:01,Morning,RT,"‘Discrimination, harassment, bullying’: Canada’s spy agents file C$35mn lawsuit against bosses                                                                    ",negative,-0.796679,0.235627,0.104744,0.315661,0.066755,0.007742,0,0,0
4,2017-07-15,11:00:01,Morning,RT,‘Mad Max’ Jihad: Seized ISIS combat vehicles go on exhibit in Mosul (PHOTOS)                                                                     ,negative,-0.47096,0.185477,0.092414,0.442337,0.033685,0.062334,0,0,0
5,2017-07-15,11:00:01,Morning,WT,Sessions says he’ll appeal travel ban case back to Supreme Court,neutral,0.0,0.280815,0.074712,0.273285,0.37091,0.068454,0,0,0
6,2017-07-15,11:00:01,Morning,WT,Sen. Joe Donnelly selling stock after AP ties company to Mexican labor,neutral,0.0,0.268382,0.070145,0.075763,0.12989,0.01623,0,0,0
7,2017-07-15,11:00:01,Morning,WT,Vulnerable Senate Democrats show strong fundraising in second quarter,neutral,0.0,0.481593,0.052376,0.176614,0.296657,0.075329,0,0,0
8,2017-07-15,11:00:01,Morning,WT,"Pelosi, House Dems will try to force Republicans to take stance on Trump-Russia ties",negative,-0.480609,0.213272,0.22711,0.284556,0.498388,0.016475,0,1,0
9,2017-07-15,11:00:01,Morning,WT,Saudi king congratulates Trump on defeat of the Islamic State in Mosul,neutral,0.0,0.41357,0.312275,0.084702,0.140463,0.138621,0,1,0
